0.9033722,0.45125717,0.36878288,0.38164306,0.275748,0;4.5484447;1149.0;36,23.129576
0.59434986,0.33830792,0.20976752,0.2506613,0.8259658,0;4.5987678;4191.0;37,27.932413
0.75128037,0.64362216,0.57104033,0.08028591,0.58002484,0;3.7615268;1165.0;34,19.47129
0.76953524,0.9740357,0.08065438,0.7134062,0.533008,0;5.677169;1087.0;43,28.338957
0.4805745,0.8734515,0.2916565,0.2195251,0.9498601,1;6.289022;2665.0;41,40.21794
0.5958838,0.8204918,0.18874633,0.63664454,0.3784287,1;6.6478987;3090.0;44,42.545193
0.28057194,0.6313797,0.19596416,0.34482837,0.17927343,1;6.494878;4909.0;39,44.534595
0.96248686,0.8656868,0.48132795,0.48659062,0.548164,0;5.9093957;1819.0;40,30.50568
0.6310371,0.31532842,0.07025117,0.5716203,0.34344965,1;6.455806;3616.0;43,42.432762
0.2516958,0.6162137,0.3839646,0.3743593,0.11490452,0;5.5430274;3321.0;33,31.013962
0.17091739,0.80912477,0.2848068,0.62793326,0.78079724,1;6.4438233;4152.0;39,43.160843
0.46339923,0.6571403,0.30557913,0.99892163,0.5399094,1;6.664757;5603.0;44,46.393368
0.49732685,0.79070914,0.027314126,0.6705582,0.03648448,0;5.191227;788.0;24,25.527725
0.46867168,0.4838438,0.45936418,0.6550534,0.26563913,0;3.8801506;1696.0;33,20.816372
0.27882224,0.97855663,0.8992053,0.18089604,0.3738361,0;3.7910686;1269.0;29,19.740154
0.9205154,0.43130952,0.27748615,0.33232427,0.8020202,0;4.1663713;1512.0;34,21.881065
0.31514746,0.7959332,0.4427359,0.12537599,0.096450865,0;4.968629;3861.0;26,29.108435
0.8053907,0.29006612,0.13978958,0.93872094,0.09294677,0;6.0166607;4485.0;35,34.980247
0.5598563,0.58346164,0.42451715,0.688246,0.86637694,0;5.3204985;4619.0;40,31.957493
0.5563822,0.48034084,0.115750074,0.31068355,0.5885086,1;6.6033325;3193.0;50,42.52172
0.076164246,0.89514226,0.88866776,0.62647516,0.66105086,0;3.6124768;896.0;29,18.347225
0.1468293,0.2601936,0.007594228,0.96223617,0.64061266,0;4.9610887;536.0;39,24.150747
0.3975361,0.82913387,0.57353467,0.43494356,0.25816494,0;4.633963;4011.0;28,27.78166
0.51348335,0.63843215,0.40519872,0.6846668,0.8732677,1;5.961763;4575.0;43,41.565727
0.8647109,0.34155542,0.11844621,0.8904597,0.66274565,1;6.2878904;3325.0;38,41.187653
0.16814971,0.5968095,0.27681312,0.68862236,0.1272696,1;6.3025026;4000.0;40,42.278347
0.48778367,0.73655987,0.321258,0.36871612,0.4286352,1;6.464225;3080.0;40,41.65305
0.37359297,0.6189259,0.41551626,0.29987934,0.33518004,0;4.4916644;3032.0;35,25.6841
0.30540553,0.60923576,0.31013224,0.6462797,0.4081983,1;5.9842157;3775.0;41,40.460506
0.50798506,0.27450618,0.21101819,0.56667084,0.2663078,0;4.4524145;3296.0;28,25.861935
0.4807657,0.6585534,0.17405124,0.8525783,0.4247072,1;6.543377;3122.0;44,42.105427
0.67463875,0.6356449,0.23636119,0.65106916,0.6253236,1;6.492854;3141.0;40,41.878155
0.5480582,0.42334995,0.16591814,0.34201738,0.53008497,1;6.5213575;5353.0;47,45.36417
0.5552258,0.31277066,0.17341678,0.45312685,0.2514375,1;6.266703;3779.0;44,41.79978
0.44273946,0.6229868,0.1972173,0.6493082,0.37881884,1;6.5963774;3240.0;39,42.50476
0.3234408,0.5872601,0.23438051,0.67364424,0.31539875,1;6.115039;3900.0;36,41.233513
0.44273946,0.6229868,0.1972173,0.6493082,0.37881884,1;6.528933;3907.0;41,43.200523
0.44273946,0.6229868,0.1972173,0.6493082,0.37881884,1;6.4711237;2969.0;44,41.538746
0.15737523,0.5712524,0.22460729,0.66362613,0.53360736,1;6.5160933;6005.0;42,46.292603
0.29469457,0.71146667,0.2777713,0.6756457,0.4244558,1;6.39319;3828.0;42,42.453552
1.0328187,0.6034707,0.29277384,0.9063604,0.4814262,1;6.562968;3980.0;44,43.483852
0.42954445,0.6506217,0.27893868,0.73940504,0.32702765,1;6.3140397;3387.0;42,41.422688
0.1255677,0.59822315,0.30885103,0.68218803,0.12743956,1;6.3111634;5876.0;35,45.10776
0.57232314,0.61264265,0.1824838,0.3580199,0.3601788,1;6.6104727;3790.0;44,43.420544
0.43659687,0.6703088,0.15799968,0.8138182,0.31452736,1;6.4014864;2623.0;38,40.664772
0.59112394,0.6120678,0.29160026,0.49274886,0.51550573,1;6.230965;2828.0;41,40.191505
0.82930017,0.5877275,0.23030344,0.6760712,0.304414,1;6.8019323;4428.0;46,45.281017
0.6749787,0.6199235,0.23259348,0.6753327,0.7110416,1;6.4621596;3562.0;45,42.391407
0.28531414,0.63446015,0.28641826,0.6790546,0.398507,1;6.3194394;3671.0;44,41.88389
0.052578986,0.8338662,0.78861445,0.46030635,0.76125115,0;3.5046616;884.0;28,17.821087
